pubmed_id,terms,title,journal,author,volume,authors,author_initials,year,contact_addresses,issue,pages,editor,review,publisher,url
22052190,"['Aging/genetics/metabolism/pathology', 'Animals', 'Arteries/metabolism/pathology', 'Atherosclerosis/genetics/metabolism/pathology', 'Cell Aging', 'Cell Cycle Checkpoints/genetics', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Endothelial Cells/metabolism/pathology', 'Gene Knockdown Techniques', 'Humans', 'Kruppel-Like Transcription Factors/genetics/metabolism', 'Mice', 'Mice, Knockout', 'Reactive Oxygen Species/metabolism', 'Repressor Proteins/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism']",POZ/BTB and AT-hook-containing zinc finger protein 1 (PATZ1) inhibits endothelial cell senescence through a p53 dependent pathway.,Cell Death Differ.,Cho et al.,19,,"Cho, JH et al.",2012,,4,703-712,,,,
22117195,"['Acetylation', 'Apoptosis', 'Cell Aging', 'Cell Line, Tumor', 'Fibroblasts/metabolism', 'HEK293 Cells', 'Histone Deacetylases/metabolism', 'Humans', 'Intranuclear Inclusion Bodies/metabolism', 'Melanoma-Specific Antigens/metabolism', 'Neoplasm Proteins/metabolism', 'Nuclear Proteins/genetics/metabolism', 'Promyelocytic Leukemia Protein', 'Protein Interaction Mapping', 'RNA Interference', 'RNA, Small Interfering/metabolism', 'Sumoylation', 'Transcription Factors/metabolism', 'Tumor Suppressor Protein p53/antagonists & inhibitors/genetics/metabolism', 'Tumor Suppressor Proteins/metabolism', 'ras Proteins/metabolism']",MageA2 restrains cellular senescence by targeting the function of PMLIV/p53 axis at the PML-NBs.,Cell Death Differ.,Peche et al.,19,,"Peche, LY et al.",2012,,6,926-936,,,,
22170163,"['Aneuploidy', 'Calcium-Binding Proteins/genetics/metabolism', 'Cell Aging/genetics', 'Cell Cycle Checkpoints/genetics', 'Cell Cycle Proteins/genetics/metabolism', 'Cell Proliferation', 'Cells, Cultured', 'Chromosomal Instability/genetics', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Fibroblasts/metabolism', 'Gene Expression Regulation', 'Gene Silencing', 'Humans', 'M Phase Cell Cycle Checkpoints/genetics', 'Mad2 Proteins', 'RNA, Small Interfering/genetics', 'Repressor Proteins/genetics/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p14ARF/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",MAD2 depletion triggers premature cellular senescence in human primary fibroblasts by activating a p53 pathway preventing aneuploid cells propagation.,J. Cell. Physiol.,Lentini et al.,227,,"Lentini, L et al.",2012,,9,3324-3332,,,,
22341977,"['Carcinoma, Renal Cell/genetics/metabolism/pathology', 'Carrier Proteins/genetics/metabolism', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Movement/drug effects', 'Cell Proliferation', 'DNA Helicases/genetics/metabolism', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Immunohistochemistry', 'Kaplan-Meier Estimate', 'Kidney Neoplasms/genetics/metabolism/pathology', 'Male', 'Middle Aged', 'Neoplasm Invasiveness', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction']",Overexpression of reptin in renal cell carcinoma contributes to tumor malignancies and its inhibition triggers senescence of cancer cells.,Urol. Oncol.,Ren et al.,31,,"Ren, J et al.",2013,,7,1358-1366,,,,
22392074,"['Breast Neoplasms/genetics/metabolism/pathology', 'Cell Aging/physiology', 'Cell Cycle Checkpoints/physiology', 'Cell Cycle Proteins/genetics/metabolism', 'Cell Growth Processes/physiology', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/genetics/metabolism', 'Female', 'G1 Phase/physiology', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques/methods', 'Genes, Tumor Suppressor', 'Humans', 'Insulin-Like Growth Factor Binding Proteins/genetics/metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'Resting Phase, Cell Cycle', 'Retinoblastoma Protein/genetics/metabolism', 'Signal Transduction', 'Transfection/methods', 'Tumor Suppressor Protein p53/biosynthesis/genetics/metabolism']","IGFBP-rP1 induces p21 expression through a p53-independent pathway, leading to cellular senescence of MCF-7 breast cancer cells.",J. Cancer Res. Clin. Oncol.,Zuo et al.,138,,"Zuo, S et al.",2012,,6,1045-1055,,,,
22451485,"['Animals', 'Cell Aging/genetics', 'Cell Line, Tumor', 'Drug Resistance, Neoplasm/genetics', 'Gene Expression Regulation, Neoplastic', 'Genes, p53', 'Humans', 'Mice', 'Mice, Nude', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Transplantation', 'Neoplasms/drug therapy/genetics/pathology', 'Proto-Oncogene Proteins c-bcl-2/genetics']",Inhibition of Mcl-1 promotes senescence in cancer cells: implications for preventing tumor growth and chemotherapy resistance.,Mol. Cell. Biol.,Bolesta et al.,32,,"Bolesta, E et al.",2012,,10,1879-1892,,,,
22555807,"['Adenocarcinoma/genetics/pathology', 'Aged', 'Biomarkers, Tumor/genetics', 'Cell Aging/genetics', 'Cell Proliferation', 'Female', 'Gene Expression', 'Humans', 'Male', 'Middle Aged', 'Models, Biological', 'Pancreatic Neoplasms/genetics/pathology', 'TRPM Cation Channels/genetics/metabolism']",TRPM8 ion channel is aberrantly expressed and required for preventing replicative senescence in pancreatic adenocarcinoma: potential role of TRPM8 as a biomarker and target.,Cancer Biol. Ther.,Yee et al.,13,,"Yee, NS et al.",2012,,8,592-599,,,,
22563078,"['Animals', 'Apoptosis/physiology', 'Cell Aging/physiology', 'Cell Division/physiology', 'Cell Line, Transformed', 'Cell Line, Tumor', 'Cell Transformation, Neoplastic/metabolism', 'DNA Damage/physiology', 'DNA Helicases/genetics/metabolism', 'Fibrosarcoma', 'Gene Expression Regulation, Neoplastic/physiology', 'Gene Knockdown Techniques', 'Humans', 'Mammary Glands, Human/cytology/physiology', 'Mice', 'NIH 3T3 Cells', 'Nuclear Proteins/genetics/metabolism', 'Oncogene Protein p21(ras)/metabolism', 'RNA-Binding Proteins/genetics/metabolism', 'Signal Transduction/physiology', 'Stress, Physiological/physiology', 'Transcription Factors/genetics/metabolism', 'Tumor Suppressor Protein p53/metabolism']",58-kDa microspherule protein (MSP58) is novel Brahma-related gene 1 (BRG1)-associated protein that modulates p53/p21 senescence pathway.,J. Biol. Chem.,Hsu et al.,287,,"Hsu, CC et al.",2012,,27,22533-22548,,,,
22705236,"['Aged', 'Apoptosis/genetics', 'Basic Helix-Loop-Helix Transcription Factors/genetics', 'Carcinoma, Hepatocellular/genetics/pathology', 'Cell Aging/genetics', 'Cell Cycle/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Chromatin Immunoprecipitation', 'Cyclin-Dependent Kinase Inhibitor p57/genetics/metabolism', 'Female', 'Fluorescent Antibody Technique', 'Gene Expression Regulation, Neoplastic', 'Gene Silencing', 'Homeodomain Proteins/genetics', 'Humans', 'Liver Neoplasms/genetics/pathology', 'Male', 'Middle Aged', 'Receptor, Notch1/metabolism', 'Receptor, Notch3', 'Receptors, Notch/metabolism', 'Recurrence', 'Signal Transduction', 'Time Factors', 'Transcription Factor HES-1']",CDKN1C/P57 is regulated by the Notch target gene Hes1 and induces senescence in human hepatocellular carcinoma.,Am. J. Pathol.,Giovannini et al.,181,,"Giovannini, C et al.",2012,,2,413-422,,,,
22746537,"['Animals', 'Apoptosis/genetics', 'Cell Aging/genetics', 'Cell Differentiation', 'Gene Expression Regulation', 'Genetic Vectors', 'Humans', 'Lentivirus', 'Mesenchymal Stromal Cells/cytology/metabolism', 'Mice', 'Octamer Transcription Factor-3/genetics/metabolism']",Human mesenchymal stromal cells senesce with exogenous OCT4.,Cytotherapy,Jaganathan and Bonnet,14,,"Jaganathan, B.G. and Bonnet, D.",2012,,9,1054-1063,,,,
22844531,"['Carcinoma, Squamous Cell/genetics/pathology', 'Cell Aging', 'Cell Line, Tumor', 'Cell Proliferation', 'Epithelium/metabolism', 'Esophageal Neoplasms/genetics/pathology', 'Esophagus/cytology/pathology', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'Middle Aged', 'Survival Analysis', 'Tumor Suppressor Proteins/metabolism']",Overexpression of the DEC1 protein induces senescence in vitro and is related to better survival in esophageal squamous cell carcinoma.,PLoS ONE,Xu et al.,7,,"Xu, Q et al.",2012,,7,e41862,,,,
22851694,"['Cell Aging', 'Cell Cycle Checkpoints', 'Cell Line', 'Cell Proliferation', 'Cells, Cultured', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'DNA/metabolism', 'DNA Damage', 'DNA-Activated Protein Kinase/metabolism', 'Down-Regulation', 'Fibroblasts/cytology/metabolism', 'Humans', 'NIMA-Related Kinases', 'Protein Interaction Maps', 'Protein-Serine-Threonine Kinases/genetics/metabolism', 'Telomerase/metabolism', 'Telomere/metabolism', 'Transcription, Genetic']",Nek4 regulates entry into replicative senescence and the response to DNA damage in human fibroblasts.,Mol. Cell. Biol.,Nguyen et al.,32,,"Nguyen, CL et al.",2012,,19,3963-3977,,,,
22964484,"['Animals', 'Autophagy/drug effects', 'Biomarkers, Tumor/metabolism', 'Cell Aging/drug effects', 'Cell Cycle/drug effects', 'Cell Nucleus/drug effects/metabolism', 'Cell Proliferation/drug effects', 'Cell Transformation, Neoplastic/pathology', 'Colorectal Neoplasms/pathology', 'DNA Damage', 'Disease Progression', 'Doxorubicin/chemistry/pharmacology', 'Fluorouracil/chemistry/pharmacology', 'Gene Knockdown Techniques', 'Humans', 'Male', 'Mice', 'Mice, Nude', 'Mitochondria/drug effects/metabolism/pathology', 'Monocarboxylic Acid Transporters/antagonists & inhibitors/metabolism', 'Phenotype', 'Reactive Oxygen Species/metabolism']",Inhibition of monocarboxylate transporter 2 induces senescence-associated mitochondrial dysfunction and suppresses progression of colorectal malignancies in vivo.,Mol. Cancer Ther.,Lee et al.,11,,"Lee, I et al.",2012,,11,2342-2351,,,,
22971926,"['Base Sequence', 'Blotting, Western', 'Carbohydrate Metabolism', 'Cell Aging', 'Cytosol/metabolism', 'DNA Primers', 'Fibroblasts/cytology/enzymology/metabolism', 'Gene Knockdown Techniques', 'Humans', 'Malate Dehydrogenase/genetics/metabolism', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction']",Cytosolic malate dehydrogenase regulates senescence in human fibroblasts.,Biogerontology,Lee et al.,13,,"Lee, SM et al.",2012,,5,525-536,,,,
22987071,"['Animals', 'Breast Neoplasms/genetics/metabolism/pathology', 'Cell Aging', 'Cell Cycle Checkpoints', 'Cell Line, Tumor', 'Cell Proliferation', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'Female', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Humans', 'Mice', 'Mice, SCID', 'Nuclear Proteins/genetics/metabolism', 'Phenotype', 'Promoter Regions, Genetic', 'Protein-Arginine N-Methyltransferases/genetics/metabolism', 'Repressor Proteins/metabolism', 'Tumor Suppressor Protein p53/metabolism']",p53-Independent regulation of p21Waf1/Cip1 expression and senescence by PRMT6.,Nucleic Acids Res.,Phalke et al.,40,,"Phalke, S et al.",2012,,19,9534-9542,,,,
23085987,"['Animals', 'Argonaute Proteins/metabolism', 'Carrier Proteins/metabolism', 'Cell Aging', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'Humans', 'Lung Neoplasms/metabolism', 'Mice', 'Neoplasm Transplantation', 'Nuclear Proteins/metabolism', 'RNA Stability/physiology', 'RNA-Induced Silencing Complex/metabolism']",Wig1 prevents cellular senescence by regulating p21 mRNA decay through control of RISC recruitment.,EMBO J.,Kim et al.,31,,"Kim, BC et al.",2012,,22,4289-4303,,,,
23168260,"['Alleles', 'Animals', 'Cell Aging', 'Cell Line', 'Cell Transformation, Neoplastic', 'Chromatin Immunoprecipitation', 'DNA Helicases/genetics/metabolism', 'G1 Phase Cell Cycle Checkpoints', 'HEK293 Cells', 'HeLa Cells', 'Humans', 'Jumonji Domain-Containing Histone Demethylases/antagonists & inhibitors/genetics/metabolism', 'MCF-7 Cells', 'Mice', 'Nerve Tissue Proteins/genetics/metabolism', 'RNA Interference', 'RNA, Small Interfering/metabolism', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/antagonists & inhibitors/genetics/metabolism', 'ras Proteins/metabolism']",JMJD2A promotes cellular transformation by blocking cellular senescence through transcriptional repression of the tumor suppressor CHD5.,Cell Rep,Mallette and Richard,2,,"Mallette, F.A. and Richard, S.",2012,,5,1233-1243,,,,
23216904,"['Animals', 'Cell Aging', 'Cell Cycle', 'Cell Line', 'Cyclin-Dependent Kinase Inhibitor p16/metabolism', 'DNA Damage', 'Fibroblasts/cytology/enzymology', 'Humans', 'Mice', 'NADH, NADPH Oxidoreductases/genetics/metabolism', 'NADPH Oxidase/genetics/metabolism', 'Oncogene Protein p21(ras)/metabolism', 'RNA, Small Interfering', 'Reactive Oxygen Species/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/metabolism', 'Up-Regulation', 'p38 Mitogen-Activated Protein Kinases/metabolism']",ROS-generating oxidases Nox1 and Nox4 contribute to oncogenic Ras-induced premature senescence.,Genes Cells,Kodama et al.,18,,"Kodama, R et al.",2013,,1,32-41,,,,
23291986,"['Animals', 'Carcinoma, Hepatocellular/genetics/metabolism/pathology', 'Cell Aging/genetics', 'Cell Line, Tumor', 'Cell Proliferation', 'Gene Expression Regulation, Neoplastic', 'Homeodomain Proteins/genetics/metabolism', 'Humans', 'Liver Neoplasms/genetics/metabolism/pathology', 'Male', 'Mice', 'Phenotype', 'Tumor Burden', 'Tumor Suppressor Protein p53/genetics/metabolism', 'Tumor Suppressor Proteins/genetics/metabolism', 'Twist-Related Protein 1/metabolism', 'Xenograft Model Antitumor Assays']",The homeobox transcription factor Prox1 inhibits proliferation of hepatocellular carcinoma cells by inducing p53-dependent senescence-like phenotype.,Cancer Biol. Ther.,Chang and Hung,14,,"Chang, T.M. and Hung, W.C.",2013,,3,222-229,,,,
23292286,"['Cell Aging/genetics/physiology', 'Cells, Cultured', 'DNA-Binding Proteins/antagonists & inhibitors/genetics/metabolism', 'Endothelial Cells/cytology/metabolism', 'Fibroblasts/cytology/metabolism', 'Gene Knockdown Techniques', 'Genes, p16', 'Genes, p53', 'Human Umbilical Vein Endothelial Cells', 'Humans', 'Neoplasm Proteins/antagonists & inhibitors/genetics/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/antagonists & inhibitors/genetics/metabolism']",HJURP regulates cellular senescence in human fibroblasts and endothelial cells via a p53-dependent pathway.,J. Gerontol. A Biol. Sci. Med. Sci.,Heo et al.,68,,"Heo, JI et al.",2013,,8,914-925,,,,
23324396,"['Cell Aging/genetics', 'Cell Line, Tumor', 'Cell Transformation, Neoplastic/genetics', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'High-Throughput Screening Assays', 'Humans', 'Models, Molecular', 'Mutation', 'Oligonucleotide Array Sequence Analysis', 'Polymorphism, Single Nucleotide', 'RNA, Small Interfering/genetics', 'Receptor Protein-Tyrosine Kinases/genetics/metabolism', 'Signal Transduction', 'Tumor Suppressor Protein p53/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']","A high-content cellular senescence screen identifies candidate tumor suppressors, including EPHA3.",Cell Cycle,Lahtela et al.,12,,"Lahtela, J et al.",2013,,4,625-634,,,,
23451179,"['Animals', 'Autophagy/physiology', 'Cell Aging/physiology', 'Cell Line, Tumor', 'Humans', 'Mice', 'Phosphatidylinositol 3-Kinases/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism', 'SOXB1 Transcription Factors/physiology', 'Signal Transduction', 'Transplantation, Heterologous']",Autophagy and cellular senescence mediated by Sox2 suppress malignancy of cancer cells.,PLoS ONE,Cho et al.,8,,"Cho, YY et al.",2013,,2,e57172,,,,
23472054,"['Adaptor Proteins, Vesicular Transport/genetics/metabolism', 'Cell Aging/genetics/physiology', 'Cell Line', 'E2F Transcription Factors/genetics/metabolism', 'Endocytosis/genetics/physiology', 'Humans', 'Immunoblotting', 'Immunoprecipitation', 'Intracellular Signaling Peptides and Proteins/genetics/metabolism', 'Nuclear Proteins/genetics/metabolism', 'Real-Time Polymerase Chain Reaction', 'Retinoblastoma Protein/genetics/metabolism', 'Signal Transduction/genetics/physiology', 'Tumor Suppressor Proteins/genetics/metabolism', 'beta-Galactosidase/genetics/metabolism']",The ING1a tumor suppressor regulates endocytosis to induce cellular senescence via the Rb-E2F pathway.,PLoS Biol.,Rajarajacholan et al.,11,,"Rajarajacholan, UK et al.",2013,,3,e1001502,,,,
23478443,"['Cell Aging', 'Cell Cycle Checkpoints', 'Cell Proliferation', 'HeLa Cells', 'Humans', 'Nuclear Proteins/genetics/metabolism', 'Proteasome Endopeptidase Complex/metabolism', 'Protein Binding', 'Protein Stability', 'Proto-Oncogene Proteins c-mdm2/metabolism', 'RNA-Binding Proteins/genetics/metabolism', 'Ribosomal Proteins/metabolism', 'Ribosomes/enzymology', 'Serine-Arginine Splicing Factors', 'Signal Transduction', 'Stress, Physiological', 'Transfection', 'Tumor Suppressor Protein p53/metabolism', 'Tumor Suppressor Proteins/metabolism']",Splicing-factor oncoprotein SRSF1 stabilizes p53 via RPL5 and induces cellular senescence.,Mol. Cell,Fregoso et al.,50,,"Fregoso, OI et al.",2013,,1,56-66,,,,
23576552,"['Adaptor Proteins, Signal Transducing/genetics/metabolism', 'Blotting, Western', 'Cell Aging/genetics', 'Cell Line', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase 6/genetics/metabolism', 'Cyclin-Dependent Kinase Inhibitor p16/genetics/metabolism', 'DNA-Binding Proteins/genetics/metabolism', 'Gene Expression', 'Hep G2 Cells', 'Humans', 'Muscle Proteins/genetics/metabolism', 'Nuclear Proteins/genetics/metabolism', 'Phosphoproteins/genetics/metabolism', 'RNA Interference', 'Retinoblastoma Protein/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcription Factors/genetics/metabolism', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/genetics/metabolism']",YAP/TEAD-mediated transcription controls cellular senescence.,Cancer Res.,Xie et al.,73,,"Xie, Q et al.",2013,,12,3615-3624,,,,
23610446,"['Cell Aging/physiology', 'Cell Differentiation/physiology', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/biosynthesis/genetics', 'Genes, Tumor Suppressor', 'Humans', 'Neoplasms/genetics/metabolism/pathology', 'Receptor, Notch3', 'Receptors, Notch/biosynthesis/genetics/physiology', 'Signal Transduction', 'Transcriptional Activation']",Notch3 functions as a tumor suppressor by controlling cellular senescence.,Cancer Res.,Cui et al.,73,,"Cui, H et al.",2013,,11,3451-3459,,,,
23773483,"['Cell Aging/physiology', 'Cell Growth Processes/physiology', 'Cyclin-Dependent Kinase Inhibitor p21/deficiency/genetics', 'Fibroblasts/cytology/metabolism', 'Gene Knockout Techniques', 'HEK293 Cells', 'Humans', 'MicroRNAs/biosynthesis/genetics', 'Proteins/metabolism', 'RNA-Binding Proteins', 'Tumor Suppressor Protein p53/deficiency/genetics', 'Up-Regulation']",DGCR8-mediated disruption of miRNA biogenesis induces cellular senescence in primary fibroblasts.,Aging Cell,Gómez-Cabello et al.,12,,"Gómez-Cabello, D et al.",2013,,5,923-931,,,,
23814485,"['Antineoplastic Agents/pharmacology', 'Cell Aging/genetics', 'Cell Line, Tumor', 'DNA Damage', 'Doxorubicin/pharmacology', 'Enzyme Activation', 'Etoposide/pharmacology', 'Extracellular Signal-Regulated MAP Kinases/metabolism', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Neoplasms/genetics/metabolism', 'Phosphatidylethanolamine Binding Protein/genetics/metabolism', 'Phosphorylation', 'Signal Transduction', 'Topoisomerase II Inhibitors/pharmacology', 'Tumor Suppressor Protein p53/metabolism']","A new p53 target gene, RKIP, is essential for DNA damage-induced cellular senescence and suppression of ERK activation.",Neoplasia,Lee et al.,15,,"Lee, SJ et al.",2013,,7,727-737,,,,
23872946,"['Blotting, Western', 'Cell Aging/physiology', 'Chromatin Immunoprecipitation', 'Colony-Forming Units Assay', 'Flow Cytometry', 'Fluorescent Antibody Technique', 'Gene Expression Regulation/physiology', 'Gene Knockdown Techniques', 'Humans', 'Inhibitor of Differentiation Protein 1/metabolism', 'Microarray Analysis', 'Nuclear Proteins/genetics/metabolism', 'RNA Interference', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction/physiology', 'beta-Galactosidase']",DPY30 regulates pathways in cellular senescence through ID protein expression.,EMBO J.,Simboeck et al.,32,,"Simboeck, E et al.",2013,,16,2217-2230,,,,
23935871,"['Cell Aging/genetics', 'Cell Cycle Checkpoints/genetics', 'Cell Line', 'Gene Expression Regulation', 'Gene Knockdown Techniques', 'Histones/genetics', 'Humans', 'Nuclear Proteins/metabolism', 'Promyelocytic Leukemia Protein', 'Protein Binding', 'Protein Transport', 'Small Ubiquitin-Related Modifier Proteins/metabolism', 'Transcription Factors/genetics/metabolism', 'Tumor Suppressor Proteins/metabolism', 'Ubiquitins/metabolism']",The transcriptional cofactor MCAF1/ATF7IP is involved in histone gene expression and cellular senescence.,PLoS ONE,Sasai et al.,8,,"Sasai, N et al.",2013,,7,e68478,,,,
24122992,"['Antibiotics, Antineoplastic/pharmacology', 'Apoptosis/drug effects', 'Cadherins/metabolism', 'Cell Aging/drug effects', 'Cell Line, Tumor', 'Cell Shape/drug effects', 'Cyclin-Dependent Kinase Inhibitor Proteins/metabolism', 'Doxorubicin/pharmacology', 'Drug Resistance, Neoplasm', 'E2F1 Transcription Factor/genetics/metabolism', 'Gene Expression', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Inhibitor of Differentiation Proteins/physiology', 'Male', 'Prostatic Neoplasms', 'Tumor Suppressor Proteins/physiology', 'Vimentin/metabolism']",Id4 promotes senescence and sensitivity to doxorubicin-induced apoptosis in DU145 prostate cancer cells.,Anticancer Res.,Carey et al.,33,,"Carey, JP et al.",2013,,10,4271-4278,,,,
24165198,"['Cell Aging/genetics', 'Cell Line', 'Chromosome Mapping', 'Chromosomes, Human, Pair 10', 'Chromosomes, Human, Pair 4', 'Female', 'Fibroblasts/metabolism/pathology/virology', 'Gene Expression Profiling', 'Gene Expression Regulation', 'Homeodomain Proteins/genetics/metabolism', 'Humans', 'Keratinocytes/metabolism/pathology/virology', 'Papillomaviridae/genetics/metabolism', 'Toll-Like Receptor 3/genetics/metabolism', 'Uterine Cervical Neoplasms/genetics/pathology']",SORBS2 and TLR3 induce premature senescence in primary human fibroblasts and keratinocytes.,BMC Cancer,Liesenfeld et al.,13,,"Liesenfeld, M et al.",2013,,,507,,,,
24231354,"['Animals', 'Bone Neoplasms/etiology/genetics/immunology/pathology', 'Calcium Radioisotopes/toxicity', 'Cell Aging/physiology', 'Cytokines/physiology', 'Genes, Retinoblastoma', 'Humans', 'Immunologic Surveillance', 'Intercellular Signaling Peptides and Proteins/physiology', 'Interleukin-6/deficiency/physiology', 'Mice', 'Mice, Inbred C57BL', 'Natural Killer T-Cells/immunology', 'Neoplasm Proteins/antagonists & inhibitors/physiology', 'Neoplasm Transplantation/immunology', 'Neoplasms, Radiation-Induced/etiology/genetics/immunology/pathology', 'Osteoblasts/pathology', 'Osteosarcoma/etiology/genetics/immunology/pathology', 'Phenotype', 'Prognosis', 'RNA Interference', 'Retinoblastoma Protein/antagonists & inhibitors/physiology']",Immune response to RB1-regulated senescence limits radiation-induced osteosarcoma formation.,J. Clin. Invest.,Kansara et al.,123,,"Kansara, M et al.",2013,,12,5351-5360,,,,
24244503,"['Adult', 'Alopecia/genetics/metabolism', 'Androgens/pharmacology', 'Cell Aging/drug effects', 'Cells, Cultured', 'DNA Damage', 'Female', 'Gene Expression', 'Gene Knockdown Techniques', 'Hair Follicle/cytology/drug effects/metabolism', 'Humans', 'Male', 'Middle Aged', 'Receptors, Androgen/genetics/metabolism', 'Signal Transduction', 'Young Adult']",Androgen receptor accelerates premature senescence of human dermal papilla cells in association with DNA damage.,PLoS ONE,Yang et al.,8,,"Yang, YC et al.",2013,,11,e79434,,,,
24265816,"['Antineoplastic Agents, Alkylating/pharmacology', 'Cell Aging/drug effects/genetics', 'Cell Line, Tumor', 'Dacarbazine/analogs & derivatives/pharmacology', 'Dose-Response Relationship, Drug', 'Gene Expression', 'Gene Silencing', 'Glioblastoma/genetics/metabolism', 'Humans', 'Integrin beta4/genetics/metabolism', 'Nerve Growth Factors/genetics/metabolism', 'Phosphorylation/drug effects', 'Proto-Oncogene Proteins c-akt/metabolism']",NETRIN-4 protects glioblastoma cells FROM temozolomide induced senescence.,PLoS ONE,Li et al.,8,,"Li, L et al.",2013,,11,e80363,,,,
24302615,"['Base Sequence', 'Carcinoma, Hepatocellular/metabolism/pathology', 'Cell Aging', 'Cell Cycle Proteins/genetics/metabolism', 'Cell Division', 'Cell Line, Tumor', 'G1 Phase', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics/metabolism', 'Liver Neoplasms/metabolism/pathology', 'RNA, Small Interfering', 'Signal Transduction']",Suppressing N-Myc downstream regulated gene 1 reactivates senescence signaling and inhibits tumor growth in hepatocellular carcinoma.,Carcinogenesis,Lu et al.,35,,"Lu, WJ et al.",2014,,4,915-922,,,,
24393841,"['Animals', 'Cell Aging/genetics/physiology', 'Cell Differentiation/genetics/physiology', 'Cell Proliferation', 'Cell Survival/genetics/physiology', 'Cyclin D1/metabolism', 'Cyclin-Dependent Kinase 4/metabolism', 'Gene Knockdown Techniques', 'Humans', 'Mesenchymal Stromal Cells/cytology/metabolism', 'Mice', 'Mice, Inbred BALB C', 'Oxidative Stress', 'Proteasome Endopeptidase Complex/genetics/metabolism', 'Up-Regulation']",Ameliorating replicative senescence of human bone marrow stromal cells by PSMB5 overexpression.,Biochem. Biophys. Res. Commun.,Lu et al.,443,,"Lu, L et al.",2014,,4,1182-1188,,,,
24588771,"['Cell Aging', 'Cell Line, Tumor', 'Cyclin-Dependent Kinase Inhibitor p21/metabolism', 'Doxorubicin', 'Enhancer of Zeste Homolog 2 Protein', 'Humans', 'Neoplasm Proteins/metabolism', 'Polycomb Repressive Complex 2/metabolism', 'Stomach Neoplasms/drug therapy/pathology', 'Tumor Suppressor Protein p53/metabolism']",Inhibiting enhancer of zeste homolog 2 promotes cellular senescence in gastric cancer cells SGC-7901 by activation of p21 and p16.,DNA Cell Biol.,Bai et al.,33,,"Bai, J et al.",2014,,6,337-344,,,,
24674756,"['Cell Aging/genetics', 'Cell Proliferation/physiology', 'Cells, Cultured', 'Fibroblasts', 'Gene Expression Regulation', 'Humans', 'Models, Biological', 'NF-kappa B/metabolism', 'Phosphoprotein Phosphatases/genetics', 'Protein Phosphatase 2C', 'Transcription Factors', 'Tumor Suppressor Protein p53/metabolism', 'p38 Mitogen-Activated Protein Kinases/metabolism']",PPM1B depletion induces premature senescence in human IMR-90 fibroblasts.,Mech. Ageing Dev.,Park et al.,138,,"Park, JH et al.",2014,,,45-52,,,,
24756776,"['Aging/genetics', 'Apoptosis/drug effects', 'Cell Line, Tumor', 'Chromosomal Proteins, Non-Histone/biosynthesis', 'Cisplatin/administration & dosage', 'Drug Resistance, Neoplasm/genetics', 'Endoplasmic Reticulum/metabolism', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'Heat-Shock Proteins/biosynthesis/genetics', 'Humans', 'Ovarian Neoplasms/drug therapy/genetics/pathology']",Cisplatin-induced senescence in ovarian cancer cells is mediated by GRP78.,Oncol. Rep.,Li et al.,31,,"Li, W et al.",2014,,6,2525-2534,,,,
