"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
98,"CCS1","Ccs1p","Saccharomyces cerevisiae","","Deletion reduced replicative lifespan by 50%.","CCS","Unlu and Koc, 2007",17460215,"","CCS1","","",855054,"","YMR038C","","LYS7",NULL
99,"cct-4","Chaperonin Containing TCP-1","Caenorhabditis elegans","Chaperonin complex","RNA interference in adulthood resulted in a 28% increase in mean lifespan.","CCT4","Curran and Ruvkun, 2007",17411345,"Cct4","CCT4","CG5525","cct-4",174330,"Cel.22476","K01C8.10","","",NULL
100,"cct-6","Chaperonin Containing TCP-1","Caenorhabditis elegans","Chaperonin complex","RNA interference in adulthood resulted in a 20% increase in mean lifespan.","CCT6A","Curran and Ruvkun, 2007",17411345,"Cct6a","CCT6","Tcp-1zeta","cct-6",175819,"Cel.17538","F01F1.8","","",NULL
101,"Cct1","CTP:phosphocholine cytidylyltransferase 1","Drosophila melanogaster","Catalyzes the conversion of phosphocholine to CDP-choline","Overexpression results in a 6-8% increase in mean lifespan.","PCYT1A","Landis et al., 2003",12620118,"","","","",117353,"Dm.4419","FBgn0041342","","Cct cct1 CCT1 CG1049 CT41283 Dmel\CG1049",NULL
102,"vps-37","related to yeast Vacuolar Protein Sorting factor","Caenorhabditis elegans","ESCRT-I subunit","RNA interference decreased median lifespan by 44% in wild type animals, 47% in a daf-2 background and 33% in daf-2/daf-16 double mutants.","VPS37B","Samuelson et al., 2007",18006689,"","","","",178944,"Cel.4337","CD4.4","","",NULL
103,"cdc-25.1","Cell Division Cycle related","Caenorhabditis elegans","Cell cycle regulation","RNA interference resulted in increased thermotolerance and extended lifespan.","CDC25A","Olsen et al., 2006",16741121,"","","","",172353,"Cel.17290","K06A5.7","","",NULL
104,"cdc-25.3","Cell Division Cycle related","Caenorhabditis elegans","Cell cycle regulation","RNA interference extended lifespan. Knockout mutants also displayed increased thermotolerance and a 40% life-extension.","CDC25C","Olsen et al., 2006",16741121,"","","","",176260,"Cel.10680","ZK637.11","","",NULL
105,"CDC25","Cdc25p","Saccharomyces cerevisiae","Cell cycle regulation","Knockout mutants live about 50% longer than controls.","RASGEF1B","Lin et al., 2000",11000115,"","CDC25","","",851019,"","YLR310C","","CTN1",NULL
106,"CDC6","Cell Division Cycle","Saccharomyces cerevisiae","Required for pre-replicative complex formation","Approximately 20% increase in mean lifespan in knockouts.","CDC6","Sinclair and Guarente, 1997",9428525,"","CDC6","","",853244,"","YJL194W","","",NULL
107,"cdk-7","Cyclin-Dependent Kinase family","Caenorhabditis elegans","Cell cycle","RNA interference decreased median lifespan by 18% in a daf-2 background and 19% in daf-2/daf-16 double mutants.","CDK7","Samuelson et al., 2007",18006689,"Cdk7","KIN28","Cdk7","cdk-7",171784,"Cel.7731","Y39G10AL.3","","",NULL
108,"Cdk5","Cyclin-dependent kinase 5","Drosophila melanogaster","Cell cycle","Loss-of-function mutations result in defective axon guidance, age-dependent behavioral deficits and reduced lifespan by about one third.","CDK5","Crowley et al., 2007",17368005,"Cdk5","PHO85","Cdk5","cdk-5",36727,"Dm.640","FBgn0013762","","cdk5 CDK5 CG8203 DmCdk5 Dmel\CG8203",NULL
109,"Cdkn1a","Cyclin-dependent kinase inhibitor 1A","Mus musculus","Cell cycle","Deletion of p21 prolongs the lifespan of telomerase-deficient mice with dysfunctional telomeres and improves the repopulation capacity and self-renewal of hematopoietic stem cells.","CDKN1A","Choudhury et al., 2007",17143283,"Cdkn1a","","","",12575,"Mm.480525","ENSMUSG00000023067","P39689","P21 CDKI CIP1 SDI1 Waf1 mda6 CAP20 Cdkn1 p21WAF p2",NULL
110,"Cebpa","CCAAT/enhancer binding protein (C/EBP), alpha","Mus musculus","Transcription factor involved in fat metabolism","Replacing the CEBPA gene by CEBPB increased lifespan by about 20%.","CEBPA","Chiu et al., 2004",15289464,"Cebpa","","","",12606,"Mm.349667","ENSMUSG00000034957","P53566","Cebp CBF-A C/ebpalpha",NULL
111,"Cebpb","CCAAT/enhancer binding protein (C/EBP), beta","Mus musculus","Transcription factor involved in fat metabolism","Replacing the CEBPA gene by CEBPB increased lifespan by about 20%.","CEBPB","Chiu et al., 2004",15289464,"Cebpb","","","",12608,"Mm.439656","ENSMUSG00000056501","P28033","LAP LIP CRP2 NF-M Nfil6 NF-IL6 IL-6DBP C/EBPbeta",NULL
112,"ced-3","CEll Death abnormality","Caenorhabditis elegans","Apoptosis","RNA interference in adulthood resulted in a 19% increase in mean lifespan.","CASP2","Curran and Ruvkun, 2007",17411345,"Casp2","","","ced-3",178272,"Cel.19438","C48D1.2","","",NULL
113,"ceh-18","Protein CEH-18","Caenorhabditis elegans","POU-class homeodomain transcription factor","RNA interference extends lifespan.","POU2F3","Hamilton et al., 2005",15998808,"","","pdm2","ceh-18",180671,"Cel.18139","ZC64.3","","",NULL
114,"T15B12.1","INSulin related","Caenorhabditis elegans","New insulin/IGF-like peptide","Gene silencing extended lifespan by 30-40%.","IRS1","Kawano et al., 2000",10873623,"","","","",188527,"","","O18149_CAEEL","",NULL
115,"cel-1","mRNA Capping Enzyme Like","Caenorhabditis elegans","Possibly a mRNA capping enzyme","RNA interference decreased median lifespan 76% in daf-2 mutants, 15% in daf-2/daf-16 double mutants, and 59% wild-type animals.","RNGTT","Samuelson et al., 2007",18006689,"Rngtt","","mRNA-capping-enzyme","cel-1",172814,"Cel.8014","C03D6.3","","",NULL
116,"cep-1","C. Elegans P-53-like protein","Caenorhabditis elegans","Cell  cycle control, apoptosis","RNA interference increased mean lifespan up to 18% and knockouts lived up to 33% longer. Both were dependent upon functional daf-16.","MYH1","Arum et al., 2007",17895432,"","","","",172616,"Cel.18659","F52B5.5","","",NULL
117,"cert","ceramide transfer protein","Drosophila melanogaster","Ceramide transfer protein","Mutant flies exhibited a shortened lifespan accompanied by enhanced oxidative damage to cellular proteins and metabolic compromise, such as increasing glucose levels, reminiscent of premature ageing.","COL4A3BP","Pralhada Rao et al., 2007",17592126,"Col4a3bp","","CG7207","F25H2.6",38928,"Dm.3152","FBgn0027569","","BcDNA:GH07688 CERT CG7207 dcert Dcert Dmel\CG7207",NULL
118,"che-11","abnormal CHEmotaxis","Caenorhabditis elegans","","Loss-of-function increases lifespan up to 40%.","IFT140","Apfeld and Kenyon, 1999",10617200,"Ift140","","Oseg3","che-11",179666,"Cel.6178","C27A7.4","","",NULL
119,"che-13","abnormal CHEmotaxis","Caenorhabditis elegans","","Loss-of-function mutation increases lifespan up to 40%.","ESRRBL1","Apfeld and Kenyon, 1999",10617200,"Ift57","","CG8853","che-13",186607,"Cel.9299","F59C6.7","","",NULL
120,"che-2","abnormal CHEmotaxis","Caenorhabditis elegans","Chemotaxis and dauer formation","Loss-of-function mutations extend lifespan up to 50%.","IFT80","Apfeld and Kenyon, 1999",10617200,"Ift80","","Oseg5","che-2",180401,"Cel.19591","F38G1.1","","",NULL
121,"che-3","abnormal CHEmotaxis","Caenorhabditis elegans","Required for proper structure of sensory cilia","Loss-of-function extends lifespan by 50-100%, but life-extension is suppressed by daf-16.","DYNC2H1","Apfeld and Kenyon, 1999",10617200,"Dync2h1","","","che-3",172593,"Cel.18923","F18C12.1","","",NULL
122,"Chek2","CHK2 checkpoint homolog (S. pombe)","Mus musculus","Cell cycle checkpoint regulator","Mice hypomorphic for Brca1 and double mutant for chk2 exhibit signs of premature ageing.","CHEK2","Cao et al., 2006",16675955,"Chek2","DUN1","lok","chk-2, T08D2.7",50883,"Mm.279308","ENSMUSG00000029521","Q9Z265","CHK2 Cds1 Rad53 HUCDS1",NULL
123,"cher","cheerio","Drosophila melanogaster","Cytokinesis and ring canal formation","Overexpression results in a 7-9% increase in mean lifespan.","FLNC","Landis et al., 2003",12620118,"","","cher","Y66H1B.2",42066,"Dm.6964","FBgn0014141","","CG3937 Cher Dmel\CG3937 Fil FLN joy sko",NULL
124,"chico","Insulin receptor substrate-1","Drosophila melanogaster","Insulin receptor substrate","Lifespan extension of 48% in homozygotes and 36% in heterozygotes.","IRS1","Clancy et al., 2001",11292874,"","","","",64880,"Dm.3017","FBgn0024248","","anon-WO0078940.1 anon-WO0078940.4 BcDNA.GH11263 Bc",NULL
125,"chk-1","CHeckpoint Kinase","Caenorhabditis elegans","chk-1 encodes a CHK1-like serine threonin protein kinase that affects fertility","RNA interference increased lifespan by 15 to 25%.","CHEK1","Olsen et al., 2006",16741121,"Chek1","CHK1","grp","chk-1",3565921,"Cel.7221","Y39H10A.7","","",NULL
126,"CHL1","Chl1p","Saccharomyces cerevisiae","Required to establish sister-chromatid pairing","It may modulate transcriptional silencing in the presence of Sir proteins. Knockouts exhibit a shortened lifespan and are hypersensitivity to heat stress.","DDX11","Das and Sinha, 2005",16182251,"Ddx11","CHL1","CG11403","M03C11.2",856099,"","YPL008W","","CTF1 LPA9 MCM12",NULL
127,"cit-1.2","CyclIn T","Caenorhabditis elegans","Regulates heat-shock protein expression","RNA interference decreased median lifespan by 27% in daf-2 mutants.","CCNT1","Samuelson et al., 2007",18006689,"Ccnt1","","CycT","cit-1.2",176126,"Cel.7557","F44B9.3","","",NULL
128,"Csnk1e","casein kinase 1, epsilon","Mesocricetus auratus","Can phosphorylate a number of proteins, including circadian rhythm proteins","A mutation called tau shortens the circadian period, increases metabolic rate, and increases lifespan by 14-16%.","CSNK1E","Oklejewicz and Daan, 2002",12054192,NULL,NULL,NULL,NULL,101830758,"","","","",NULL
129,"cku-70","Caenorhabditis KU","Caenorhabditis elegans","DNA-binding subunit of a DNA-dependent protein kinase","RNA interference of cku-70 further increases the lifespan of daf-2 mutants. Lifespan of daf-16 mutants was slightly decreased.","XRCC6","McColl et al., 2005",16099946,"Xrcc6","YKU70","Irbp","cku-70",176546,"Cel.9779","Y47D3A.4","","",NULL
130,"clk-1","Coenzyme Q7 homolog","Caenorhabditis elegans","Ubiquinone (coenzyme Q, CoQ) biosynthesis","Mutations slow down development and extend lifespan.","COQ7","Lakowski and Hekimi, 1996",8638122,"Coq7","CAT5","COQ7","clk-1",175729,"Cel.10672","ZC395.2","","",NULL
131,"clk-2","CLocK (biological timing) abnormality","Caenorhabditis elegans","Could be involved in regulating telomere length and DNA damage response","Mutations slow down development and extend lifespan by 12%-25%.","KIAA0683","Lakowski and Hekimi, 1996",8638122,"","","","",176065,"Cel.32199","C07H6.6","","",NULL
132,"CLN3","Cln3p","Saccharomyces cerevisiae","Involved in cell cycle control","Overexpression shortens chronological lifespan together with age-dependent increases in genome instability and apoptosis.","CLN3","Weinberger et al., 2007",17710147,"","CLN3","","",851191,"","YAL040C","","DAF1 FUN10 WHI1",NULL
133,"cm","carmine","Drosophila melanogaster","u-subunit of AP-3 complex","Loss-of-function mutation reduces maximum lifespan by 40%.","AP3M2","Simonsen et al., 2007",17435236,"Ap3m2","","cm","",31647,"Dm.230","FBgn0000330","","ap-3 AP-3 AP3mu3 cg3035 CG3035 CG32731 Dmel\CG3035",NULL
134,"cnb-1","CalciNeurin B","Caenorhabditis elegans","Regulatory subunit of the protein phosphatase 2B that binds TAX-6 (a calcineurin A ortholog) in a calcium-dependent manner","RNA interference increased mean lifespan by 30%.","WDR92","Dong et al., 2007",17673661,"Ppp3r1","","CanB, CanB2","cnb-1",179572,"Cel.7029","F55C10.1","","",NULL
135,"col-93","COLlagen","Caenorhabditis elegans","Encodes collagen","RNA interference results in extended lifespan.","COL1A1","Hamilton et al., 2005",15998808,"","","","",259335,"Cel.21322","W05B2.5","","",NULL
136,"Coq7","demethyl-Q 7","Mus musculus","Ubiquinone (coenzyme Q, CoQ) biosynthesis","Heterozygous mice live about 15 to 30% longer than controls.","COQ7","Liu et al., 2005",16195414,"Coq7","CAT5","COQ7","clk-1",12850,"Mm.20634","ENSMUSG00000030652","P97478","clk-1",NULL
137,"cox1","Cytochrome c oxidase I","Podospora anserina","Catalyses the reduction of oxygen to water","In mutants lifespan is increased about twofold.","MTCO1","Begel et al., 1999",10330149,NULL,NULL,NULL,NULL,802462,NULL,NULL,NULL,"",NULL
138,"crn-5","Cell-death-Related Nuclease","Caenorhabditis elegans","Apoptosis","RNA interference in adulthood resulted in a 41% increase in mean lifespan.","EXOSC5","Curran and Ruvkun, 2007",17411345,"Exosc5","RRP46","Rrp46","crn-5",174634,"Cel.23323","C14A4.5","","",NULL
139,"CSR2","Csr2p","Saccharomyces cerevisiae","","Deletion results in higher levels of intracellular reactive oxygen species, augmentation of scavenging enzymes and extended lifespan.","","Kharade et al., 2005",16336970,"","","","",856142,"","YPR030W","","ART8 MRG19",NULL
140,"cst-1","Caenorhabditis STE20-like kinase","Caenorhabditis elegans","","Knockdown of cst-1 shortens lifespan and accelerates tissue ageing while its overexpression extends lifespan and delays ageing in a daf-16-dependent manner.","MST1","Lehtinen et al., 2006",16751106,"","","","",180708,"Cel.10981","F14H12.4","","",NULL
141,"CTT1","Cytosolic catalase T","Saccharomyces cerevisiae","Protection from oxidative damage by hydrogen peroxide","Overexpression in combination with SOD1 increases stationary phase survival by about 10%. Overexpression of CTT1 alone slightly shortens stationary phase survival.","","Fabrizio et al., 2003",12586694,"","CTT1","","",852979,"","YGR088W","","SPS101",NULL
142,"cua-1","CU (copper) ATPase","Caenorhabditis elegans","Cation transport ATPase","RNA interference decreased median lifespan by 12% in wild type animals and 30% in daf-2 mutants.","ATP7A","Samuelson et al., 2007",18006689,"Atp7a","CCC2","","cua-1",176770,"Cel.22946","Y76A2A.2","","",NULL
143,"cul-1","CULlin","Caenorhabditis elegans","Scaffolding protein","The CUL-1 complex functions in postmitotic, adult somatic tissues of insulin/insulin-like growth factor-1-signalling mutants to enhance longevity. It may act, at least in part, by promoting the transcriptional activity of DAF-16/FOXO.","CUL1","Ghazi et al., 2007",17392428,"Cul1","","lin19","cul-1",176466,"Cel.6661","D2045.6","","",NULL
144,"cwp-4","Coexpressed With Polycystins","Caenorhabditis elegans","Similar to mucins","RNA interference extends lifespan.","MUC2","Hamilton et al., 2005",15998808,"","","","",178894,"Cel.34950","K11D12.1","","",NULL
145,"cyc-1","Cytochrome c1","Caenorhabditis elegans","Component of complex III","RNA interference results in a 45-87% increase in mean lifespan.","CYC1","Hansen et al., 2005",16103914,"Cyc1","CYT1","CG4769","cyc-1",172582,"Cel.17378","C54G4.8","","",NULL
146,"cox1","cytochrome c oxidase subunit 1","Podospora anserina","Member of complex III","Mutants have a reduced growth rate, a reduced reactive oxygen species production, and are long-lived.",NULL,"Sellem et al., 2006",17081785,NULL,NULL,NULL,NULL,802462,"","","","",NULL
147,"cyp-33E2","CYtochrome P450 family","Caenorhabditis elegans","CYtochrome P450 family","RNA interference increased mean lifespan by 18%.","CYP2C8","Kim et al., 2007",17608836,"","","","",185653,"Cel.12951","F42A9.5","","",NULL
148,"cyp-42A1","CYtochrome P450 family","Caenorhabditis elegans","CYtochrome P450 family","RNA interference decreased median lifespan by 39% in wild type animals, 77% in a daf-2 background and 37% in daf-2/daf-16 double mutants.","CYP4V2","Samuelson et al., 2007",18006689,"","","","cyp-42A1",180236,"Cel.1528","Y80D3A.5","","",NULL
149,"CYR1","Adenylate cyclase","Saccharomyces cerevisiae","","Knocking out gene extends replicative lifespan by 75%.","PLEKHE1","Lin et al., 2002",12124627,"","CYR1","","",853452,"","YJL005W","","CDC35 FIL1 HSR1 SRA4 TSM0185",NULL
150,"CELE_D1054.14","Protein D1054.14","Caenorhabditis elegans","mRNA splicing factor","RNA interference in adulthood extended mean lifespan by 36%.","PRPF38A","Curran and Ruvkun, 2007",17411345,"Prpf38a","","CG30342","D1054.14",179499,"Cel.4311","D1054.14","","",NULL
151,"CELE_D1054.8","Dehydrogenase","Caenorhabditis elegans","Reductases with broad range of substrate specificities","RNA interference results in lifespan extension.","DHRS10","Hamilton et al., 2005",15998808,"","","","",183917,"Cel.4315","D1054.8","","",NULL
152,"D1069.3","D1069.3b","Caenorhabditis elegans","","RNA interference decreased median lifespan by 27% in daf-2 mutants.","FAM126A","Samuelson et al., 2007",18006689,"","","","",173425,"Cel.15588","D1069.3","","",NULL
153,"D2030.4","Protein D2030.4","Caenorhabditis elegans","NADH:ubiquinone oxidoreductase, NDUFB7/B18 subunit","RNA interference extends lifespan by about 40%.","NDUFB7","Lee et al., 2003",12447374,"Ndufb7","","CG5548","D2030.4",172513,"Cel.18342","D2030.4","","",NULL
