"id","gene_id","biblio_id","lifespan_effect","phenotype_description","longevity_influence","max_lifespan_change","max_lifespan_change_desc","avg_lifespan_change","avg_lifespan_change_desc","method","notes","hidden"
143,143,69,"decrease","RNAi decreased lifespan of daf-2 mutant, but not of WT or glp-1 mutant. The CUL-1 complex functions in postmitotic, adult somatic tissues of insulin/insulin-like growth factor-1-signalling mutants to enhance longevity. It may act, at least in part, by promoting the transcriptional activity of DAF-16/FOXO.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that cul-1 is needed for the daf-2 lifespan extension.",0
144,144,5,"increase","RNA interference extends lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
145,145,12,"increase","RNA interference results in a 45-87% increase in mean lifespan.","anti",NULL,"",87,"Average lifespan is 45-87% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
146,146,70,"increase","Mutants in cox1 (alias cyc1) have a reduced growth rate, a reduced reactive oxygen species production, and are long-lived.",NULL,NULL,"",NULL,"","","",NULL
147,147,2,"increase","RNA interference increased mean lifespan by 18%.","anti",NULL,"",18,"Average lifespan is 18% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
148,148,9,"decrease","RNA interference decreased median lifespan by 39% in wild type animals, 77% in a daf-2 background and 37% in daf-2/daf-16 double mutants.","pro",NULL,"",39,"Median lifespan is 39% lower.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
149,149,71,"increase","Knocking out gene extends replicative lifespan by 75%.","anti",NULL,"",75,"Replicative lifespan is 75% higher. ","Knockout","2009 entry; quantitative data extracted in 2012.",0
150,150,24,"increase","RNA interference in adulthood extended mean lifespan by 36%.","anti",NULL,"",36,"Average lifespan is 36% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
151,151,5,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
152,152,9,"decrease","RNA interference decreased median lifespan by 27% in daf-2 mutants.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that D1069.3 is needed for the daf-2 lifespan extension.",0
153,153,4,"increase","RNA interference extends lifespan by about 40%.","anti",NULL,"",40,"Lifespan is about 40% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
154,154,24,"increase","RNA interference in adulthood extended mean lifespan by 24%.","anti",NULL,"",24,"Average lifespan is 24% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
155,155,23,"increase","RNA interference in adulthood extended mean lifespan by 18%.","anti",NULL,"",NULL,"Average lifespan is 18% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.",0
156,156,31,"increase","Mutation in adults increased mean lifespan by up to 46% and maximum lifespan by 50%.","anti",50,"Maximum lifespan is 50% higher.",46,"Average lifespan is 46% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
157,157,72,"increase","Mutations in daf-2 and daf-12, but not mutations in daf-12 alone, nearly quadruple lifespan.","anti",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012. There are no values for WT - however it appears that daf-12 in combination with daf-2 extends lifespan significantly (probably more than daf-2 alone).",0
158,158,31,"increase","Mutation in adults increased mean lifespan by up to 44% and maximum lifespan by 50%.","anti",50,"Maximum lifespan is 50% higher.",44,"Average lifespan is up to 44% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
159,159,37,"increase","Mutations in daf-15 (raptor) extend adult lifespan.","anti",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
160,161,73,"increase","Required for complete dauer formation. Overexpression increases adult lifespan in individual tissues.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
161,162,55,"increase","Loss-of-function mutations increase lifespan up to 50%.","anti",NULL,"",50,"Lifespan is up to 50% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
162,163,74,"increase","Mutants live more than twice as long as controls. This lifespan extension requires the activity of daf-16.","anti",NULL,"",100,"Lifespan is more than twice higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
163,164,75,"increase","Semi-dominant mutation increases lifespan by 10-15%.","pro",NULL,"",15,"Lifespan is 10-15% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
164,165,31,"decrease","Mutation in adults decreased mean lifespan by 6-16% and maximum lifespan by up to 30%.","anti",30,"Maximum lifespan is up to 30% higher.",16,"Average lifespan is 6-16% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
165,166,31,"increase","Mutation in adults increased mean lifespan by up to 120% and maximum lifespan by up to 185%.","anti",185,"Maximum lifespan is up to 185% higher.",120,"Average lifespan is up to 120% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
166,167,31,"decrease","Mutation in adults reduced mean and maximum lifespan by 20%.","pro",20,"Maximum lifespan is 20% lower.",20,"Average lifespan is 20% lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
167,168,55,"increase","Loss-of-function mutations extend lifespan by up to 50%.","anti",NULL,"",50,"Lifespan is up to 50% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
168,169,31,"increase","Mutations cause up to 50% mean and maximum life-extension. This effect is dependent upon daf-3 and on daf-16 but independent of daf-2. RNA interference increased mean lifespan by 30% and maximum lifespan by 10%.","anti",50,"Maximum lifespan is up to 50% higher.",50,"Average lifespan is up to 50% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
169,170,31,"increase","Mutation in adults increased mean lifespan by 31% but it did not increase maximum lifespan.","anti",NULL,"",31,"Average lifespan is 31% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
170,171,76,"increase","Mutations increase lifespan up to 52%.","anti",NULL,"",52,"Lifespan is up to 52% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
171,172,5,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
172,173,12,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
173,174,12,"increase","RNA interference results in lifespan extension.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
174,175,77,"increase","Mutations in both des(bs29) and des(bs30) increase lifespan by approximately 60%.","anti",NULL,"",60,"Lifespan is approximately 60% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
175,176,24,"increase","RNA interference in adulthood extended mean lifespan by 22%.","anti",NULL,"",22,"Average lifespan is 22% higher.","RNA interference","2009 entry; quantitative data extracted in 2012.

Entry hidden because Entrez was discontinued. Wormbase comment: ""Map position created from combination of previous interpolated map position (based on known location of sequence) and allele information. Therefore this is not a genetic map position based on recombination frequencies or genetic experiments. This was done on advice of the CGC.""
",1
176,177,78,"decrease","RNA interference had little effect on lifespan, but suppressed daf-9 life-extension.","pro",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012. No direct effect, but it appears that din-1 is needed for the daf-9 lifespan extension.",0
177,178,79,"decrease","RNA interference shortened maximum lifespan by 13% and resulted in increased sensitivity to oxidative stress and motor impairments.","pro",13,"Maximal lifespan is 13% lower.",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
178,179,79,"decrease","Loss of function mutation shortened maximum lifespan by 40% and resulted in increased sensitivity to oxidative stress and motor impairments.","pro",40,"Maximal lifespan is 40% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
179,180,80,"increase","Adult median and maximal lifespan increases by 40% and 20%, respectively, in animals lacking dkf-2. dkf-2 deficiency also ameliorated heat stress.","anti",20,"Maximum lifespan is 20% higher.",40,"Average lifespan is 40% higher.","Deletion","2009 entry; quantitative data extracted in 2012.",0
180,181,81,"decrease","Mutation reduced maximum lifespan by 30%.","pro",30,"Maximum lifespan is 30% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
181,182,82,"decrease","DLP mutants have a 20% shorter mean lifespan and reduced female fertility.","pro",NULL,"",20,"Average lifespan is 20% lower.","Mutation","2009 entry; quantitative data extracted in 2012.",0
182,183,83,"decrease","Mutants exhibit an accelerated ageing phenotype including extended cell cycle time, age-related transcriptional silencing defects, and nucleolar reorganization.","pro",NULL,"",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
183,184,84,"increase","cAMP phosphodiesterase-deficient dunce mutants had an extended maximum lifespan by about 70%.","anti",70,"Maximal lifespan is 70% higher.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
184,185,85,"increase","Deletion delayed ageing.","anti",NULL,"",NULL,"","Deletion","2009 entry; quantitative data extracted in 2012.",0
185,186,86,"increase","Overexpression extended lifespan.","pro",NULL,"",NULL,"","Overexpression","2009 entry; quantitative data extracted in 2012.",0
186,187,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
187,188,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
188,189,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
189,190,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
190,191,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
191,192,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
192,193,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
193,194,38,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
194,195,39,"decrease","Loss-of-function mutation reduces maximum lifespan by 70%.","pro",70,"Maximal lifespan is 70% lower.",NULL,"","Mutation","2009 entry; quantitative data extracted in 2012.",0
195,196,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
196,197,5,"increase","RNA interference extended lifespan.","anti",NULL,"",NULL,"","RNA interference","2009 entry; quantitative data extracted in 2012.",0
197,198,87,"increase","Female, but not male, heterozygous mutants display a 42% increase in mean lifespan.","anti",NULL,"",42,"Average female lifespan is 42% higher.","Mutation","2009 entry; quantitative data extracted in 2012.",0
